央视,#genre#
CCTV1,rtsp://182.139.235.40/PLTV/88888895/224/3221228504/658582939.smil
CCTV2,rtsp://182.139.235.40/PLTV/88888896/224/3221227983/10000100000000060000000003751359_0.smil
CCTV3,rtsp://182.139.235.40/PLTV/88888895/224/3221228508/666944883.smil
CCTV4,rtsp://182.139.235.40/PLTV/88888896/224/3221227928/10000100000000060000000003751404_0.smil
CCTV5,rtsp://182.139.235.40/PLTV/88888895/224/3221228458/658583224.smil
CCTV6,rtsp://182.139.235.40/PLTV/88888895/224/3221228509/658582943.smil
CCTV7,rtsp://182.139.235.40/PLTV/88888896/224/3221227989/10000100000000060000000003751413_0.smil
CCTV8,rtsp://182.139.235.40/PLTV/88888895/224/3221228481/658583153.smil
CCTV9,rtsp://182.139.235.40/PLTV/88888896/224/3221227993/10000100000000060000000003751454_0.smil
CCTV10,rtsp://182.139.235.40/PLTV/88888896/224/3221227995/10000100000000060000000003751458_0.smil
CCTV11,rtsp://182.139.235.40/PLTV/88888895/224/3221228432/616099606.smil
CCTV12,rtsp://182.139.235.40/PLTV/88888896/224/3221227986/10000100000000060000000003751507_0.smil
CCTV13,rtsp://182.139.235.40/PLTV/88888895/224/3221228546/658212968.smil
CCTV14,rtsp://182.139.235.40/PLTV/88888896/224/3221227992/10000100000000060000000003751527_0.smil
CCTV15,rtsp://182.139.235.40/PLTV/88888895/224/3221228431/616097934.smil
CCTV17,rtsp://182.139.235.40/PLTV/88888895/224/3221228378/613313950_mdn_1.smil
CCTV4K,rtsp://182.139.235.40/PLTV/88888896/224/3221228545/659297395.smil
CCTV5＋,rtsp://182.139.235.40/PLTV/88888896/224/3221228702/753477317.smil
CGTN英语,rtsp://182.139.235.40/PLTV/88888895/224/3221228551/671325168.smil
CGTN西班牙语,rtsp://182.139.235.40/PLTV/88888895/224/3221228532/668292019.smil
CGTN法语,rtsp://182.139.235.40/PLTV/88888895/224/3221228503/668291866.smil
卫视,#genre#
四川卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227981/10000100000000060000000003732199_0.smil
CDTV1,rtsp://182.139.235.40/PLTV/88888896/224/3221228528/676981477.smil

爱上4K专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228463/658953872.smil

精彩导视,rtsp://182.139.235.40/PLTV/88888896/224/3221228426/613328510.smil
湖南卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227953/10000100000000060000000003734332_0.smil
江苏卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227959/10000100000000060000000003734295_0.smil
浙江卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227968/10000100000000060000000003734350_0.smil
东方卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227922/10000100000000060000000003734364_0.smil
北京卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227987/10000100000000060000000003734368_0.smil
北京卫视4K,rtsp://182.139.235.40/PLTV/88888896/224/3221228638/761592560.smil
深圳卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227965/10000100000000060000000003734360_0.smil
广东卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227971/10000100000000060000000003742736_0.smil
天津卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227956/10000100000000060000000003734376_0.smil
山东卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227980/10000100000000060000000003734383_0.smil
SCTV2,rtsp://182.139.235.40/PLTV/88888896/224/3221227905/10000100000000060000000003706211_0.smil
SCTV3,rtsp://182.139.235.40/PLTV/88888896/224/3221227904/10000100000000060000000003706213_0.smil
SCTV4,rtsp://182.139.235.40/PLTV/88888896/224/3221228363/10000100000000060000000005212704_0.smil
SCTV5,rtsp://182.139.235.40/PLTV/88888896/224/3221227947/10000100000000060000000003734394_0.smil
SCTV6,rtsp://182.139.235.40/PLTV/88888888/224/3221228421/604622562.smil
SCTV7,rtsp://182.139.235.40/PLTV/88888896/224/3221228366/10000100000000060000000004584332_0.smil
SCTV科教,rtsp://182.139.235.40/PLTV/88888896/224/3221228514/657294250.smil
四川乡村,rtsp://182.139.235.40/PLTV/88888888/224/3221228445/596286934.smil
康巴卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221228434/641326172.smil
江西卫视,rtsp://182.139.235.40/PLTV/88888888/224/3221228430/585951199.smil
东南卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221228382/10000100000000060000000004634240_0.smil
黑龙江卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221227977/10000100000000060000000003743094_0.smil
